obs,DATE,GDP,GDP_5MV,GDP_IR,GDP_SA
2011Q2,734227,330881.1,331094.0375,0.99832843411149,329856.113875236
2011Q3,734318,337399.3,335068.125,0.999119143618607,334344.771179322
2011Q4,734410,352146,338593.9,1.00288088722157,339846.948416592
2012Q1,734502,327437.5,341481.85,0.997833719450001,340325.921859799
2012Q2,734593,343904.5,343553.0125,1.00128581644693,343040.539456335
2012Q3,734684,347479.5,345427.7625,0.997579926323386,345187.325260716
2012Q4,734776,358635.1,348073.425,1.00604492760019,350498.196654615
2013Q1,734868,335946.4,351700.9375,0.995713118941924,349156.726156859
2013Q2,734958,356560.9,355553.8875,1.00015539435986,355945.073339372
2013Q3,735049,363843.2,359585.9625,1.00356645503282,363029.05227868
2013Q4,735141,373095,363513.725,0.990112592124557,361822.070970921
2014Q1,735233,353743.1,366792.475,1.00765986584756,371031.052584819
2014Q2,735323,370186.3,369943.9375,0.999174033471333,369479.927661787
2014Q3,735414,376447.8,373366.3,0.999522729692554,370705.900749813
2014Q4,735506,385702.1,377484.375,0.997822547188911,375816.138207736
2015Q1,735598,368514.9,382307.8625,1.0036206335938,385064.295623121
2015Q2,735688,388359.1,387253.8125,0.998026149485122,387534.943414035
2015Q3,735779,396862.9,391675.2875,1.00075403584257,391231.512935487
2015Q4,735871,404854.6,396015.5,1.00082000434449,393719.131432874
2016Q1,735963,384734.2,NA,0.99652273878412,396577.553211252
2016Q2,736054,406861.5,NA,1.00287810387113,405779.858596372
